,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,0,0,0,0,AMBUJACEM,EQ,01-Jun-2022,369.4,370.0,373.0,369.15,372.0,371.65,371.38,2369910,880125435.3,27825,918420,38.75,371.65,370.0
1,1,1,1,1,1,1,1,1,AMBUJACEM,EQ,02-Jun-2022,371.65,371.4,376.35,370.95,373.9,373.5,374.24,5215564,1951891429.6,46825,2739255,52.52,373.5,371.4
2,2,2,2,2,2,2,2,2,AMBUJACEM,EQ,03-Jun-2022,373.5,375.0,375.35,365.35,368.5,366.9,367.64,8010976,2945176095.6,89453,4934292,61.59,366.9,375.0
3,3,3,3,3,3,3,3,3,AMBUJACEM,EQ,06-Jun-2022,366.9,366.0,369.5,363.85,364.5,364.9,365.91,10390245,3801918671.45,123115,7455800,71.76,364.9,366.0
4,4,4,4,4,4,4,4,4,AMBUJACEM,EQ,07-Jun-2022,364.9,363.6,367.5,361.7,363.2,363.35,363.95,5708056,2077442226.3,66482,3713621,65.06,363.35,363.6
5,5,5,5,5,5,5,5,5,AMBUJACEM,EQ,08-Jun-2022,363.35,363.4,364.55,361.8,363.4,363.05,362.75,5020929,1821316906.9,46219,3412163,67.96,363.05,363.4
6,6,6,6,6,6,6,6,6,AMBUJACEM,EQ,09-Jun-2022,363.05,363.0,368.5,362.5,364.8,365.3,365.91,5238450,1916812810.1,40523,2839374,54.2,365.3,363.0
7,7,7,7,7,7,7,7,7,AMBUJACEM,EQ,10-Jun-2022,365.3,363.25,366.6,363.25,365.25,365.15,365.68,3916129,1432031906.5,18616,2158953,55.13,365.15,363.25
8,8,8,8,8,8,8,8,8,AMBUJACEM,EQ,13-Jun-2022,365.15,363.05,364.95,361.9,362.8,362.7,362.86,4509163,1636182626.8,50291,2710272,60.11,362.7,363.05
9,9,9,9,9,9,9,9,9,AMBUJACEM,EQ,14-Jun-2022,362.7,362.1,363.3,358.0,358.95,359.55,360.83,6976071,2517209455.4,48889,3763126,53.94,359.55,362.1
10,10,10,10,10,10,10,10,10,AMBUJACEM,EQ,15-Jun-2022,359.55,359.9,362.45,359.0,361.65,361.95,361.46,4077501,1473873413.15,25939,2853992,69.99,361.95,359.9
11,11,11,11,11,11,11,11,11,AMBUJACEM,EQ,16-Jun-2022,361.95,363.85,364.15,358.65,360.5,359.4,360.5,2940387,1060005730.5,50458,1695519,57.66,359.4,363.85
12,12,12,12,12,12,12,12,12,AMBUJACEM,EQ,17-Jun-2022,359.4,359.0,361.05,356.65,357.2,357.35,358.06,4012167,1436602007.05,69859,2313794,57.67,357.35,359.0
13,13,13,13,13,13,13,13,13,AMBUJACEM,EQ,20-Jun-2022,357.35,357.5,359.95,356.1,357.0,357.3,357.83,2297837,822226736.0,20096,1035190,45.05,357.3,357.5
14,14,14,14,14,14,14,14,14,AMBUJACEM,EQ,21-Jun-2022,357.3,358.1,360.95,358.1,358.2,358.9,359.31,3693727,1327189999.75,24320,2151121,58.24,358.9,358.1
15,15,15,15,15,15,15,15,15,AMBUJACEM,EQ,22-Jun-2022,358.9,358.9,358.9,355.5,358.2,357.95,357.26,2588905,924919307.6,37042,1289432,49.81,357.95,358.9
16,16,16,16,16,16,16,16,16,AMBUJACEM,EQ,23-Jun-2022,357.95,358.4,362.0,358.05,359.0,358.95,359.56,2799410,1006551503.35,20350,1177558,61.29,358.95,358.4
17,17,17,17,17,17,17,17,17,AMBUJACEM,EQ,24-Jun-2022,358.95,362.0,362.0,359.2,360.5,360.6,360.6,2713333,978434071.15,18749,1486431,54.78,360.6,362.0
18,18,18,18,18,18,18,18,18,AMBUJACEM,EQ,27-Jun-2022,360.6,362.25,365.7,360.5,365.25,365.15,363.8,3073581,1118180790.85,36375,2051279,66.74,365.15,362.25
19,19,19,19,19,19,19,19,19,AMBUJACEM,EQ,28-Jun-2022,365.15,365.85,367.35,363.5,366.55,366.45,365.95,4285971,1568440064.45,40338,2746357,64.08,366.45,365.85
20,20,20,20,20,20,20,20,20,AMBUJACEM,EQ,29-Jun-2022,366.45,364.95,367.5,364.1,365.25,365.5,365.92,4586257,1678217424.95,27321,2596887,56.62,365.5,364.95
21,21,21,21,21,21,21,21,21,AMBUJACEM,EQ,30-Jun-2022,365.5,365.55,365.95,362.1,363.1,363.0,364.16,4383329,1596246522.2,30006,3221933,73.5,363.0,365.55
