,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,0,0,0,0,AMBUJACEM,EQ,02-Mar-2022,314.25,312.8,314.85,301.0,305.1,304.15,305.76,6623505,2025199219.95,107228,3306644,49.92,304.15,312.8
1,1,1,1,1,1,1,1,1,AMBUJACEM,EQ,03-Mar-2022,304.15,308.6,311.1,287.9,290.3,290.2,295.61,11872107,3509527792.65,160570,5545411,46.71,290.2,308.6
2,2,2,2,2,2,2,2,2,AMBUJACEM,EQ,04-Mar-2022,290.2,285.2,296.2,283.7,292.15,292.6,289.93,6171233,1789254881.45,77412,2002300,32.45,292.6,285.2
3,3,3,3,3,3,3,3,3,AMBUJACEM,EQ,07-Mar-2022,292.6,287.95,289.0,278.0,280.6,281.2,282.51,6936569,1959620202.9,91238,3218900,46.4,281.2,287.95
4,4,4,4,4,4,4,4,4,AMBUJACEM,EQ,08-Mar-2022,281.2,281.05,284.55,274.0,282.8,282.9,279.72,6513565,1821946063.85,81596,3166123,48.61,282.9,281.05
5,5,5,5,5,5,5,5,5,AMBUJACEM,EQ,09-Mar-2022,282.9,285.8,292.65,281.0,292.0,291.65,286.75,7788795,2233441869.9,61891,3489580,44.8,291.65,285.8
6,6,6,6,6,6,6,6,6,AMBUJACEM,EQ,10-Mar-2022,291.65,300.0,302.0,291.0,293.0,293.2,296.11,5031572,1489923827.25,58994,1798289,35.74,293.2,300.0
7,7,7,7,7,7,7,7,7,AMBUJACEM,EQ,11-Mar-2022,293.2,293.0,296.0,290.3,292.95,293.45,292.42,4357253,1274143559.1,71240,1961694,45.02,293.45,293.0
8,8,8,8,8,8,8,8,8,AMBUJACEM,EQ,14-Mar-2022,293.45,294.65,297.5,289.05,291.6,291.2,291.61,2658414,775230698.85,30749,1291071,48.57,291.2,294.65
9,9,9,9,9,9,9,9,9,AMBUJACEM,EQ,15-Mar-2022,291.2,293.6,301.85,292.85,295.0,295.1,297.23,6826748,2029091642.6,78408,3197947,46.84,295.1,293.6
10,10,10,10,10,10,10,10,10,AMBUJACEM,EQ,16-Mar-2022,295.1,300.0,311.45,297.0,309.7,309.35,304.37,6876362,2092961009.5,87700,3428614,49.86,309.35,300.0
11,11,11,11,11,11,11,11,11,AMBUJACEM,EQ,17-Mar-2022,309.35,314.2,314.9,305.45,307.2,306.2,309.79,9901093,3067277577.45,67481,6357123,64.21,306.2,314.2
12,12,12,12,12,12,12,12,12,AMBUJACEM,EQ,21-Mar-2022,306.2,306.0,309.2,300.0,300.45,300.35,302.31,4583683,1385698598.1,60127,2379794,51.92,300.35,306.0
13,13,13,13,13,13,13,13,13,AMBUJACEM,EQ,22-Mar-2022,300.35,300.45,302.9,296.05,301.0,300.9,300.04,3537814,1061495473.5,43400,1445389,40.86,300.9,300.45
14,14,14,14,14,14,14,14,14,AMBUJACEM,EQ,23-Mar-2022,300.9,303.0,303.35,295.55,297.5,297.85,298.83,4697043,1403602214.8,54232,2751056,58.57,297.85,303.0
15,15,15,15,15,15,15,15,15,AMBUJACEM,EQ,24-Mar-2022,297.85,296.95,299.65,295.0,296.9,297.05,297.53,4048136,1204435590.75,36785,2434954,60.15,297.05,296.95
16,16,16,16,16,16,16,16,16,AMBUJACEM,EQ,25-Mar-2022,297.05,299.9,299.9,294.55,298.5,297.8,297.05,3115402,925441268.85,30166,1676864,53.82,297.8,299.9
17,17,17,17,17,17,17,17,17,AMBUJACEM,EQ,28-Mar-2022,297.8,299.4,299.4,288.5,292.0,291.8,291.7,4811353,1403448259.9,78064,2404019,49.97,291.8,299.4
18,18,18,18,18,18,18,18,18,AMBUJACEM,EQ,29-Mar-2022,291.8,293.05,303.25,293.05,303.25,302.45,300.47,8193664,2461971440.5,76624,3602231,43.96,302.45,293.05
19,19,19,19,19,19,19,19,19,AMBUJACEM,EQ,30-Mar-2022,302.45,300.8,304.8,298.8,303.0,303.05,302.63,6489029,1963749437.8,54768,3748447,57.77,303.05,300.8
20,20,20,20,20,20,20,20,20,AMBUJACEM,EQ,31-Mar-2022,303.05,303.05,303.7,298.75,299.25,299.25,300.64,4950492,1488305848.4,52078,3196248,64.56,299.25,303.05
