,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,0,0,0,0,AMBUJACEM,EQ,01-Apr-2022,299.25,298.9,306.5,298.5,305.0,304.95,303.06,3456879,1047646126.35,44542,1869812,54.09,304.95,298.9
1,1,1,1,1,1,1,1,1,AMBUJACEM,EQ,04-Apr-2022,304.95,305.5,313.5,305.1,312.55,311.65,308.63,3638554,1122955360.4,55528,1384754,38.06,311.65,305.5
2,2,2,2,2,2,2,2,2,AMBUJACEM,EQ,05-Apr-2022,311.65,314.45,317.7,310.35,316.9,316.8,315.21,5323145,1677905715.65,56567,2346276,44.08,316.8,314.45
3,3,3,3,3,3,3,3,3,AMBUJACEM,EQ,06-Apr-2022,316.8,316.8,325.0,315.45,320.2,320.7,320.54,7255760,2325764559.15,85197,3217408,44.34,320.7,316.8
4,4,4,4,4,4,4,4,4,AMBUJACEM,EQ,07-Apr-2022,320.7,320.2,327.4,320.05,324.65,325.6,324.19,5192205,1683258874.35,53308,2507835,48.3,325.6,320.2
5,5,5,5,5,5,5,5,5,AMBUJACEM,EQ,08-Apr-2022,325.6,327.25,339.8,323.45,338.4,337.35,334.97,8276853,2772478685.05,101276,2219103,26.81,337.35,327.25
6,6,6,6,6,6,6,6,6,AMBUJACEM,EQ,11-Apr-2022,337.35,338.45,369.5,338.3,364.2,360.2,358.5,30662312,10992569551.5,277497,7074154,23.07,360.2,338.45
7,7,7,7,7,7,7,7,7,AMBUJACEM,EQ,12-Apr-2022,360.2,364.0,371.6,355.75,358.0,359.65,362.27,19884358,7203441716.0,196499,5852680,29.43,359.65,364.0
8,8,8,8,8,8,8,8,8,AMBUJACEM,EQ,13-Apr-2022,359.65,359.95,374.2,359.0,369.0,369.2,368.02,17817591,6557229580.45,164916,4411015,24.76,369.2,359.95
9,9,9,9,9,9,9,9,9,AMBUJACEM,EQ,18-Apr-2022,369.2,369.0,379.65,360.5,365.1,363.4,366.36,10936057,4006540313.6,114572,3709987,33.92,363.4,369.0
10,10,10,10,10,10,10,10,10,AMBUJACEM,EQ,19-Apr-2022,363.4,366.75,370.0,351.0,352.0,354.25,359.32,9971239,3582899868.1,124351,3735715,37.46,354.25,366.75
11,11,11,11,11,11,11,11,11,AMBUJACEM,EQ,20-Apr-2022,354.25,355.0,375.8,355.0,375.0,371.3,367.31,13525255,4967969268.0,125395,4034251,29.83,371.3,355.0
12,12,12,12,12,12,12,12,12,AMBUJACEM,EQ,21-Apr-2022,371.3,378.9,384.35,374.8,378.1,377.35,379.2,14385266,5454873962.65,153070,2769534,19.25,377.35,378.9
13,13,13,13,13,13,13,13,13,AMBUJACEM,EQ,22-Apr-2022,377.35,378.0,381.0,371.05,375.0,374.2,375.79,5946333,2234589849.5,62853,1359730,22.87,374.2,378.0
14,14,14,14,14,14,14,14,14,AMBUJACEM,EQ,25-Apr-2022,374.2,371.8,387.6,370.0,378.95,376.35,381.63,12835090,4898296452.15,148656,2872921,22.38,376.35,371.8
15,15,15,15,15,15,15,15,15,AMBUJACEM,EQ,26-Apr-2022,376.35,382.0,391.0,381.3,385.0,385.15,385.18,11192640,4311235696.85,119429,4316257,38.56,385.15,382.0
16,16,16,16,16,16,16,16,16,AMBUJACEM,EQ,27-Apr-2022,385.15,385.0,387.7,376.25,385.0,384.55,382.6,11121579,4255138388.3,124869,4125293,37.09,384.55,385.0
17,17,17,17,17,17,17,17,17,AMBUJACEM,EQ,28-Apr-2022,384.55,389.9,389.9,380.45,384.8,383.35,384.68,7163762,2755747283.95,69127,2505448,34.97,383.35,389.9
