"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Jul-2022","28-Jul-2022","CE","360","7.3","12.15","7.1","10.8","10.95","10.8","1723","11495.9","330.86","775800","52200","-"
"AMBUJACEM","04-Jul-2022","28-Jul-2022","CE","360","11.65","12.2","10.25","11.65","11.45","11.65","546","3649.69","111.61","655200","-120600","-"
"AMBUJACEM","05-Jul-2022","28-Jul-2022","CE","360","11","13.2","9.6","9.75","9.65","9.75","804","5382.75","172.83","628200","-27000","-"
"AMBUJACEM","06-Jul-2022","28-Jul-2022","CE","360","10.15","11.8","10.15","10.65","10.5","10.65","291","1943.12","57.44","549000","-79200","368.25"
